Idx,Name,A,HSM,C,Cut,Wire,None,Path,Labeled
0,10311-343-153_(1)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1)_001.png,True
1,10311-343-153_(1)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1)_002.png,True
2,10311-343-153_(1)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1)_003.png,True
3,10311-343-153_(1)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1)_004.png,True
4,10311-343-153_(1)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1)_006.png,True
5,10311-343-153_(1)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1)_007.png,True
6,10311-343-153_(1)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1)_008.png,True
7,10311-343-153_(1-1)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-1)_001.png,True
8,10311-343-153_(1-1)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-1)_002.png,True
9,10311-343-153_(1-1)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-1)_003.png,True
10,10311-343-153_(1-1)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-1)_004.png,True
11,10311-343-153_(1-1)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-1)_006.png,True
12,10311-343-153_(1-1)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-1)_007.png,True
13,10311-343-153_(1-1)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-1)_008.png,True
14,10311-343-153_(1-2)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-2)_001.png,True
15,10311-343-153_(1-2)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-2)_002.png,True
16,10311-343-153_(1-2)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-2)_003.png,True
17,10311-343-153_(1-2)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-2)_004.png,True
18,10311-343-153_(1-2)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-2)_006.png,True
19,10311-343-153_(1-2)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-2)_007.png,True
20,10311-343-153_(1-2)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-2)_008.png,True
21,10311-343-153_(1-3)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-3)_001.png,True
22,10311-343-153_(1-3)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-3)_002.png,True
23,10311-343-153_(1-3)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-3)_003.png,True
24,10311-343-153_(1-3)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-3)_004.png,True
25,10311-343-153_(1-3)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-3)_006.png,True
26,10311-343-153_(1-3)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-3)_007.png,True
27,10311-343-153_(1-3)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-3)_008.png,True
28,10311-343-153_(1-4)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-4)_001.png,True
29,10311-343-153_(1-4)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-4)_002.png,True
30,10311-343-153_(1-4)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-4)_003.png,True
31,10311-343-153_(1-4)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-4)_004.png,True
32,10311-343-153_(1-4)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-4)_006.png,True
33,10311-343-153_(1-4)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-4)_007.png,True
34,10311-343-153_(1-4)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-4)_008.png,True
35,10311-343-153_(1-5)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-5)_001.png,True
36,10311-343-153_(1-5)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-5)_002.png,True
37,10311-343-153_(1-5)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-5)_003.png,True
38,10311-343-153_(1-5)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-5)_004.png,True
39,10311-343-153_(1-5)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-5)_006.png,True
40,10311-343-153_(1-5)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-5)_007.png,True
41,10311-343-153_(1-5)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-5)_008.png,True
42,10311-343-153_(1-6)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-6)_001.png,True
43,10311-343-153_(1-6)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-6)_002.png,True
44,10311-343-153_(1-6)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-6)_003.png,True
45,10311-343-153_(1-6)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-6)_004.png,True
46,10311-343-153_(1-6)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-6)_006.png,True
47,10311-343-153_(1-6)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-6)_007.png,True
48,10311-343-153_(1-6)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(1-6)_008.png,True
49,10311-343-153_(2)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2)_001.png,True
50,10311-343-153_(2)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2)_002.png,True
51,10311-343-153_(2)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2)_003.png,True
52,10311-343-153_(2)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2)_004.png,True
53,10311-343-153_(2)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2)_006.png,True
54,10311-343-153_(2)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2)_007.png,True
55,10311-343-153_(2)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2)_008.png,True
56,10311-343-153_(2-1)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-1)_001.png,True
57,10311-343-153_(2-1)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-1)_002.png,True
58,10311-343-153_(2-1)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-1)_003.png,True
59,10311-343-153_(2-1)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-1)_004.png,True
60,10311-343-153_(2-1)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-1)_006.png,True
61,10311-343-153_(2-1)_007.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-1)_007.png,True
62,10311-343-153_(2-1)_008.png,1,0,1,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-1)_008.png,True
63,10311-343-153_(2-2)_001.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-2)_001.png,True
64,10311-343-153_(2-2)_002.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-2)_002.png,True
65,10311-343-153_(2-2)_003.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-2)_003.png,True
66,10311-343-153_(2-2)_004.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-2)_004.png,True
67,10311-343-153_(2-2)_006.png,0,0,0,1,0,0,D:\IMAGE\Python_IMAGE_DEPTH_COLOR\Train\10311-343-153_(2-2)_006.png,True
